FrameIndex,NumFramePresents,NumMisPresented,NumDroppedFrames,ReprojectionFlags,SystemTimeInSeconds,PreSubmitGpuMs,PostSubmitGpuMs,TotalRenderGpuMs,CompositorRenderGpuMs,CompositorRenderCpuMs,CompositorIdleCpuMs,ClientFrameIntervalMs,PresentCallCpuMs,WaitForPresentCpuMs,SubmitFrameMs,WaitGetPosesCalledMs,NewPosesReadyMs,NewFrameReadyMs,CompositorUpdateStartMs,CompositorUpdateEndMs,CompositorRenderStartMs
14736,1,0,0,12,12311.751637,1.150976,0.144384,2.307072,1.011712,0.478300,0.000000,0.996600,0.241600,0.012400,0.008200,-15.949924,-5.891423,-5.061023,5.991889,8.411089,6.000189
14737,1,0,0,12,12311.762742,1.149952,0.136192,2.298880,1.012736,0.589100,0.000000,1.274400,0.244900,0.013000,0.011000,-15.695322,-5.891922,-5.043122,5.994888,8.400088,6.017588
14738,1,0,0,12,12311.773844,1.150976,0.134144,2.295808,1.010688,0.536800,0.000000,1.150700,0.256600,0.004500,0.008900,-15.815124,-5.892523,-5.061723,5.993088,8.402988,6.002788
14739,1,0,0,12,12311.784976,1.150976,0.140288,2.471936,1.180672,0.480600,0.000000,1.288100,0.235900,0.037400,0.008900,-15.708323,-5.889423,-5.103923,5.991788,8.553488,5.999989
14740,1,0,0,12,12311.796079,1.149952,0.090112,2.255872,1.015808,0.552300,0.000000,1.210400,0.245200,0.011800,0.007400,-15.754223,-5.893723,-5.145323,5.942989,8.356089,5.951488
14741,1,0,0,12,12311.807165,1.152000,0.088064,2.250752,1.010688,0.608500,0.000000,0.981400,0.280700,0.005300,0.007900,-15.973622,-5.893823,-5.129423,5.943688,8.428489,5.951689
14742,1,0,0,12,12311.818295,1.156096,0.090112,2.256896,1.010688,0.615700,0.000000,1.165000,0.276300,0.004900,0.011000,-15.834723,-5.892823,-4.996623,5.966688,8.408288,5.975988
14743,1,0,0,12,12311.829397,1.157120,0.091136,2.260992,1.012736,0.628800,0.000000,1.218300,0.308200,0.013500,0.010700,-15.749523,-5.893023,-5.012623,5.989489,8.368488,5.998689
14744,1,0,0,12,12311.840478,1.153024,0.194560,2.361344,1.013760,0.740300,0.000000,1.300800,0.294600,0.004600,0.010200,-15.640224,-5.892123,-5.064623,6.013088,8.532689,6.024089
14745,1,0,0,12,12311.851585,1.154048,0.094208,2.258944,1.010688,0.600500,0.000000,1.102700,0.264200,0.005000,0.013000,-15.870823,-5.892923,-4.960423,5.951189,8.418489,5.959789
14746,1,0,0,12,12311.862714,1.155072,0.089088,2.255872,1.011712,0.608000,0.000000,1.337900,0.289500,0.005100,0.011300,-15.658423,-5.892023,-5.021423,5.950888,8.458789,5.959288
14747,1,0,0,12,12311.873797,1.156096,0.148480,2.315264,1.010688,0.681500,0.000000,1.171200,0.278000,0.004900,0.011700,-15.776822,-5.893623,-5.072723,5.954189,8.389689,5.966089
14748,1,0,0,12,12311.884904,1.155072,0.094208,2.255872,1.006592,0.582100,0.000000,1.269000,0.266800,0.013100,0.010900,-15.707223,-5.891323,-4.958222,5.950689,8.394989,5.959188
14749,1,0,0,12,12311.896007,1.154048,0.090112,2.414592,1.170432,0.577800,0.000000,1.462800,0.287600,0.006000,0.009400,-15.503423,-5.820223,-4.984523,5.951989,8.571688,5.961189
14750,1,0,0,12,12311.907124,1.150976,0.093184,2.254848,1.010688,0.511500,0.000000,1.099200,0.278800,0.013000,0.009300,-15.811723,-5.891023,-5.091923,5.913088,8.359288,5.921288
14751,1,0,0,12,12311.918248,1.153024,0.141312,2.305024,1.010688,0.549500,0.000000,1.193200,0.276100,0.005500,0.008400,-15.793223,-5.875623,-4.949223,5.912089,8.352089,5.920589
14752,1,0,0,12,12311.929325,1.153024,0.090112,2.256896,1.013760,0.575600,0.000000,1.190700,0.261800,0.005300,0.010300,-15.695222,-5.893322,-5.075723,5.912489,8.258888,5.921489
14753,1,0,0,12,12311.940454,1.150976,0.148480,2.312192,1.012736,0.573400,0.000000,1.197900,0.259100,0.005100,0.009600,-15.798623,-5.892323,-5.078723,5.911889,8.365688,5.919688
14754,1,0,0,12,12311.951541,1.156096,0.090112,2.255872,1.009664,0.561700,0.000000,1.050000,0.291100,0.005500,0.010200,-15.903523,-5.892523,-5.025023,5.912489,8.367888,5.921389
14755,1,0,0,12,12311.962644,1.158144,0.180224,2.350080,1.011712,0.522400,0.000000,1.292500,0.252900,0.005100,0.010000,-15.677122,-5.893823,-5.119123,5.912589,8.334888,5.921189
14756,1,0,0,12,12311.973749,1.155072,0.144384,2.310144,1.010688,0.524500,0.000000,1.063600,0.244200,0.011100,0.009200,-15.909122,-5.891923,-5.039722,5.912489,8.319889,5.921389
14757,1,0,0,12,12311.984878,1.153024,0.132096,2.294784,1.009664,0.525000,0.000000,1.342600,0.236100,0.011900,0.008600,-15.650023,-5.892323,-5.057123,5.911688,8.292988,5.920288
